Date,Close,Adjusted Close,Swap Rate,Risk Free Rate,Risk Free Return,CPI,Inflation,Total Real Return,Real Return
1885-03-20,1.0,1.0,2.49,2.49,1.0,8.240841162612904,-5.855806641498795,1.0,1.0
1885-03-23,0.9919503979273048,0.9921664719690532,2.4890625,2.4890625,1.0000987723214285,8.250050706709677,-5.750595888969823,0.9910589150339779,0.9908430821960096
1885-03-24,0.981011268134002,0.9814434861078464,2.488125,2.488125,1.000197517192773,8.253120554741935,-5.715525638126828,0.979983246997262,0.9795516720982342
1885-03-25,0.989267164663237,0.989915462100008,2.4871875,2.4871875,1.0002962346039752,8.256190402774195,-5.680455387283823,0.9880750914900905,0.9874279993153798
1885-03-26,0.9973167326553851,0.998181048602712,2.48625,2.48625,1.0003949245449786,8.259260250806452,-5.645385136440828,0.9959549915214441,0.9950926030968225
1885-03-27,0.9977295220510315,0.9988099093673592,2.4853125,2.4853125,1.0004935870057288,8.26233009883871,-5.610314885597834,0.9962121721446459,0.9951345947347081
1885-03-30,0.9847264124963659,0.9860231180660256,2.484375,2.484375,1.0005922219761738,8.271539642935485,-5.505104133068839,0.9823636528885344,0.9810717598316758
1885-03-31,0.9882351896493731,0.9897479375814338,2.4834375,2.4834375,1.0006908294462635,8.274609490967743,-5.470033882225844,0.9857088184687728,0.9842022439964924
1885-04-01,0.9892672036579239,0.9909960311671528,2.4825,2.4825,1.00078940940595,8.277679339,-5.43496363138286,0.9865857991323059,0.9848646654283238
1885-04-02,0.9911247506862317,0.9930696236095845,2.4819047619047616,2.4819047619047616,1.0008879754377304,8.271336066266667,-5.507429813286957,0.9894083574911688,0.9874706549586626
1885-04-06,0.9892671530311886,0.9914281813033021,2.481309523809524,2.481309523809524,1.0009865275355765,8.245962975333335,-5.797294540903309,0.9908123757890667,0.9886526897958511
1885-04-07,0.9764704877731536,0.9788480942712541,2.480714285714285,2.480714285714285,1.00108506569346,8.2396197026,-5.869760722807415,0.9789932009447432,0.9766152419848341
1885-04-08,0.979979239176869,0.9825728449324473,2.480119047619048,2.480119047619048,1.0011835899053534,8.233276429866667,-5.942226904711512,0.9834756326669465,0.9808796439069158
1885-04-09,1.0043342712164363,1.0071429088720814,2.479523809523809,2.479523809523809,1.0012821001652292,8.226933157133333,-6.014693086615608,1.0088455298643475,1.0060321440787299
1885-04-10,0.9938079441532436,0.9968331312435397,2.478928571428572,2.478928571428572,1.001380596467061,8.2205898844,-6.087159268519693,0.9992888120835439,0.9962561724981988
1885-04-13,1.009907029523147,1.0131474455752911,2.478333333333333,2.478333333333333,1.001479078804822,8.2015600662,-6.205876310870662,1.0179998812300814,1.0147439453141138
1885-04-14,1.0142413485124544,1.0176975333494074,2.477738095238095,2.477738095238095,1.0015775471724864,8.195216793466667,-6.245504248789924,1.0233632538679627,1.0198878277764074
1885-04-15,1.0324043825816154,1.0360754733094166,2.477142857142857,2.477142857142857,1.001676001564028,8.188873520733333,-6.285160030768555,1.0426505411769118,1.0389561532364024
1885-04-16,1.0229100821580799,1.026797701674857,2.476547619047619,2.476547619047619,1.001774441973422,8.182530247999999,-6.324843686163284,1.0341149386776447,1.0301996149370123
1885-04-17,1.016098933085022,1.0202029704229085,2.4759523809523807,2.4759523809523807,1.0018728683946436,8.176186975266667,-6.364555244372072,1.0282703487962808,1.024133858286797
1885-04-20,1.0160989713852866,1.0204189913547914,2.475357142857143,2.475357142857143,1.001971280821668,8.157157157066667,-6.483857630483792,1.030887436045482,1.0265230971339578
1885-04-21,1.013622230142535,1.0181584166826312,2.4747619047619045,2.4747619047619045,1.0020696792484713,8.150813884333333,-6.523681094757183,1.0294041686298767,1.0248178790529836
1885-04-22,1.0165117630340024,1.0212637108674163,2.474166666666666,2.474166666666666,1.0021680636690298,8.1444706116,-6.563532609456457,1.0333479519727378,1.0285397760733233
1885-04-23,1.0179565312028027,1.022924336140765,2.4735714285714283,2.4735714285714283,1.0022664340773202,8.138127338866667,-6.603412204228809,1.0358349807636755,1.0308044756221462
1885-04-24,1.0132093927151913,1.0183935758253615,2.4729761904761904,2.4729761904761904,1.0023647904673196,8.131784066133333,-6.643319908763335,1.0320514700278784,1.0267977607284964
1885-04-27,1.0142414527911279,1.0196415283833293,2.472380952380952,2.472380952380952,1.0024631328330058,8.112754247933333,-6.763211978458461,1.0357399745408786,1.0302546407243427
1885-04-28,1.0165118322832007,1.0221276749877375,2.4717857142857143,2.4717857142857143,1.0025614611683564,8.1064109752,-6.803232419770278,1.0390778167124641,1.0333688453977987
1885-04-29,1.0179566005504255,1.0237882721582292,2.471190476190476,2.471190476190476,1.0026597754673499,8.100067702466665,-6.843281119918842,1.0415809898024244,1.0356479678577073
1885-04-30,1.0210526137553388,1.0270999347667675,2.470595238095238,2.470595238095238,1.002758075723965,8.093724429733333,-6.883358108845517,1.0457691627662546,1.0396119217646411
1885-05-01,1.014241478084761,1.0205054629293961,2.47,2.47,1.0028563619321809,8.087381157,-6.92346341653397,1.0398697999167283,1.0334869544507432
1885-05-04,0.9865841416417878,0.9930671053205095,2.469404761904762,2.469404761904762,1.002954634085977,8.06896598767742,-7.036868139147323,1.0142201976386953,1.0075991418527468
1885-05-05,0.9816306013250186,0.9883301977058502,2.468809523809524,2.468809523809524,1.0030528921793334,8.062827597903226,-7.074723210821787,1.0101508529868333,1.003303340875523
1885-05-06,0.991950483836748,0.9988649723305979,2.4682142857142857,2.4682142857142857,1.0031511362062304,8.056689208129033,-7.112605078567125,1.0216960549463412,1.0146235218093997
1885-05-07,0.9816305285880557,0.9887623074226435,2.4676190476190474,2.4676190476190474,1.0032493661606487,8.050550818354838,-7.150513770845191,1.012133617549633,1.0048332653242018
1885-05-08,0.9950463748592155,1.0023925819103303,2.467023809523809,2.467023809523809,1.0033475820365698,8.044412428580644,-7.188449316158141,1.0268690377877574,1.019343450805069
1885-05-11,0.9909183980278731,0.998481168395225,2.466428571428571,2.466428571428571,1.003445783827975,8.025997259258064,-7.302417355934399,1.0252090110190046,1.0174437966371068
1885-05-12,0.9863776135607503,0.9941570308055334,2.4658333333333333,2.4658333333333333,1.0035439715288461,8.01985886948387,-7.339365094366235,1.0215504181422734,1.0135566438258838
1885-05-13,0.9863776135607503,0.9943730970779838,2.465238095238095,2.465238095238095,1.0036421451331659,8.013720479709677,-7.376339926161368,1.0225551003610747,1.0143330130234094
1885-05-14,0.9863776135607503,0.9945891617161394,2.464642857142857,2.464642857142857,1.0037403046349171,8.007582089935484,-7.413341881131597,1.023561321220881,1.0151105725070138
1885-05-15,0.9933951970924286,1.0018218081312258,2.464047619047619,2.464047619047619,1.0038384500280828,8.00144370016129,-7.4503709891325265,1.031795598822332,1.023116869618945
1885-05-18,1.0006192033419294,1.0092607930143127,2.463452380952381,2.463452380952381,1.0039365813066468,7.98302853083871,-7.561621530533202,1.0418549620302906,1.0329342914342279
1885-05-19,1.000825631083579,1.0096831961487878,2.462857142857142,2.462857142857142,1.0040346984645931,7.976890141064515,-7.598759550090506,1.0430930722221405,1.0339424150739216
1885-05-20,0.9956656743774014,1.0047400365122565,2.4622619047619048,2.4622619047619048,1.0041328014959061,7.970751751290322,-7.635924872615496,1.0387857141925199,1.0294038667408965
1885-05-21,1.0014448166511902,1.0107342903579062,2.4616666666666664,2.4616666666666664,1.004230890394571,7.964613361516129,-7.673117528227957,1.0457884603277496,1.036176810166399
1885-05-22,1.0090815343895274,1.0185857753830425,2.461071428571429,2.461071428571429,1.0043289651545724,7.958474971741936,-7.710337547091983,1.054725134555684,1.0448836836901791
1885-05-25,0.9995871875656752,1.0093089624947023,2.4604761904761903,2.4604761904761903,1.0044270257698964,7.940059802419355,-7.822162085501039,1.0475430980237814,1.037453047696406
1885-05-26,1.0037151827741653,1.0136522633256428,2.4598809523809524,2.4598809523809524,1.0045250722345294,7.933921412645161,-7.859491859901658,1.052864890100379,1.042543398597539
1885-05-27,0.9983488195494634,1.0085028104211258,2.459285714285714,2.459285714285714,1.0046231045424576,7.927783022870968,-7.896849149042029,1.0483273127875663,1.0377723536396444
1885-05-28,0.9948400227882748,1.0052106353643695,2.458690476190476,2.458690476190476,1.004721122687668,7.921644633096775,-7.934233983353889,1.045714818662425,1.0349263302920266
1885-05-29,0.9874096621420714,0.9979976269082352,2.458095238095238,2.458095238095238,1.0048191266641477,7.915506243322581,-7.971646393313869,1.0390162891922832,1.0279931488913197
1885-06-01,0.982662492709391,0.9934673709146397,2.4575,2.4575,1.004917116465885,7.897091074,-8.084049382524105,1.0367117115947524,1.0254365111144153
1885-06-02,0.9884416290952645,0.999461480951139,2.4569318181818183,2.4569318181818183,1.0050150931658088,7.900262440400001,-8.013174113129207,1.0425480640426898,1.0310531485933763
1885-06-03,0.9946336228365682,1.005868324553118,2.4563636363636365,2.4563636363636365,1.0051130567582234,7.903433806800001,-7.942246468426662,1.0488100863214542,1.0370957613054388
1885-06-04,0.9882352442042232,0.999687202564921,2.4557954545454543,2.4557954545454543,1.0052110072374334,7.9066051732,-7.871266390338716,1.0419469883937702,1.0300109212974577
