Date,ret
1962-01-03,0.002560321349267593
1962-01-04,0.003382191791553189
1962-01-05,-0.00234110575789792
1962-01-08,-0.00048620449064780115
1962-01-09,-0.001520868809745967
1962-01-10,-0.0015187498542855692
1962-01-11,-0.0007029938512442668
1962-01-12,0.00011170431211498974
1962-01-15,-0.001292166889345126
1962-01-16,-0.002325143687323676
1962-01-17,0.0009259305917330549
1962-01-18,0.0009260481544733494
1962-01-19,0.00011252566735112938
1962-01-22,0.0019656406135810005
1962-01-23,-0.001514518489526292
1962-01-24,0.0009261659892185594
1962-01-25,-0.0007009968196210173
1962-01-26,0.00011252566735112938
1962-01-29,-0.00047528035202106385
1962-01-30,0.0009260481544733494
1962-01-31,0.0009261659892185594
1962-02-01,0.0009262840961937308
1962-02-02,0.000926402475624795
1962-02-05,0.0011499297519674786
1962-02-06,0.0009266400527577416
1962-02-07,-0.000703660073514201
1962-02-08,0.00011143052703627653
1962-02-09,0.001742634725920072
1962-02-13,0.0020763095985865537
1962-02-14,0.00011033538672142369
1962-02-15,0.0009271184864423272
1962-02-16,0.00011006160164271045
1962-02-19,0.001147361982683398
1962-02-20,-0.003152613998782634
1962-02-21,0.0017436607279500038
1962-02-23,0.0010374538731637508
1962-02-26,0.001965327042618112
1962-02-27,-0.0007076631461183955
1962-02-28,0.0009273593466218273
1962-03-01,0.0017462353244495586
1962-03-02,0.00010896646132785764
1962-03-05,-0.0013082428512788127
1962-03-06,-0.0007076631461183955
1962-03-07,0.0009273593466218273
1962-03-08,0.0017462353244495586
1962-03-09,0.0017472690091737547
1962-03-12,0.001965142679497664
1962-03-13,0.001749342992057296
1962-03-14,-0.0007130159438094845
1962-03-15,-0.002349854212275946
1962-03-16,0.0001084188911704312
1962-03-19,0.0027862724507861686
1962-03-20,0.0017498628682466844
1962-03-21,0.004222640292283933
1962-03-22,0.002578630816068102
1962-03-23,-0.003186024659422491
1962-03-26,-0.0013259898357822677
1962-03-27,-0.0007150277922074853
1962-03-28,0.00010677618069815195
1962-03-29,0.00010677618069815195
1962-03-30,0.0033992534218398665
1962-04-02,0.00031704312114989733
1962-04-03,0.002578630816068102
1962-04-04,0.004236428625958862
1962-04-05,-0.0048399918543443774
1962-04-06,0.0025804800456515854
1962-04-09,-0.0013356982254063823
1962-04-10,0.00010485968514715949
1962-04-11,-0.003186024659422491
1962-04-12,0.0009290762136830196
1962-04-13,0.0009292009223452734
1962-04-16,0.0019648563387556594
1962-04-17,0.0009295767168562241
1962-04-18,0.000929702538638151
1962-04-19,-0.000720404916564986
1962-04-23,-0.0028741336015166595
1962-04-24,-0.0007170421316457914
1962-04-25,-0.0007163704080010916
1962-04-26,-0.0007156989615983542
1962-04-27,0.0025758632338376986
1962-04-30,0.00031704312114989733
1962-05-01,0.0009292009223452734
1962-05-02,-0.0007177141327626487
1962-05-03,0.0001056810403832991
1962-05-04,-0.0007170421316457914
1962-05-07,0.0011409858646070443
1962-05-08,0.0009292009223452734
1962-05-09,0.002579555012921155
1962-05-10,-0.0007197318032524669
1962-05-11,0.0009295767168562241
1962-05-14,-0.002156798604010796
1962-05-15,-0.0015400382552608154
1962-05-16,0.0009290762136830196
1962-05-17,-0.0007170421316457914
1962-05-18,-0.004816054253947948
1962-05-21,-0.0004971508083016286
1962-05-22,0.0009282110158307293
1962-05-23,0.0017498628682466844
1962-05-24,0.000928580153756991
1962-05-25,0.0017514258172782128
1962-05-28,0.0011414090038048396
1962-05-29,-0.0015378994867062924
1962-05-31,-0.0006085253965880465
1962-06-01,0.0009287037529904618
1962-06-04,0.0011418324204748502
1962-06-05,-0.0007156989615983542
1962-06-06,0.00010650239561943874
1962-06-07,0.0017519479086420592
1962-06-08,0.0009290762136830196
1962-06-11,-0.0005056800508791931
1962-06-12,0.0009290762136830196
1962-06-13,-0.0007170421316457914
1962-06-14,-0.0023586324106535323
1962-06-15,0.0009287037529904618
1962-06-18,-0.001322758143006036
1962-06-19,-0.0015336285942013812
1962-06-20,0.0009283337854066283
1962-06-21,0.0017503832975404145
1962-06-22,0.00010677618069815195
1962-06-25,-0.003777391939436506
1962-06-26,-0.0015293665366999283
1962-06-27,0.0009278443627510507
1962-06-28,-0.0015283023993617332
1962-06-29,-0.0015261757739345279
1962-07-02,0.0003285420944558522
1962-07-03,0.00010951403148528405
1962-07-05,0.0002190280629705681
1962-07-06,-0.0015240513444697889
1962-07-09,-0.002116619435261154
1962-07-10,0.0025612289734506916
1962-07-11,0.002563956781446852
1962-07-12,-0.0007083312834995307
1962-07-13,0.00010951403148528405
1962-07-16,-0.0004886350831478272
1962-07-17,-0.0015229899520863184
1962-07-18,0.0009271184864423272
1962-07-19,0.00011006160164271045
1962-07-20,0.000927238779397977
1962-07-23,0.0011469349797498217
1962-07-24,-0.0007076631461183955
1962-07-25,-0.0007069952830053469
1962-07-26,0.000927238779397977
1962-07-27,-0.0007069952830053469
1962-07-30,-0.00048620449064780115
1962-07-31,-0.0007056603786746178
1962-08-01,0.0009269984675272621
1962-08-02,0.002563046688858153
1962-08-03,-0.0007076631461183955
1962-08-06,0.00032936344969199176
