date,adj,close
1993-01-29,24.11326026916504,43.9375
1993-02-01,24.284765243530273,44.25
1993-02-02,24.336206436157227,44.34375
1993-02-03,24.59346580505371,44.8125
1993-02-04,24.696367263793945,45.0
1993-02-05,24.6792049407959,44.96875
1993-02-08,24.6792049407959,44.96875
1993-02-09,24.507713317871094,44.65625
1993-02-10,24.54201889038086,44.71875
1993-02-11,24.662076950073242,44.9375
1993-02-12,24.47341537475586,44.59375
1993-02-16,23.856008529663086,43.46875
1993-02-17,23.838863372802734,43.4375
1993-02-18,23.821697235107422,43.40625
1993-02-19,23.907461166381836,43.5625
1993-02-22,23.993202209472656,43.71875
1993-02-23,23.976058959960938,43.6875
1993-02-24,24.284765243530273,44.25
1993-02-25,24.336206436157227,44.34375
1993-02-26,24.370519638061523,44.40625
1993-03-01,24.301897048950195,44.28125
1993-03-02,24.662076950073242,44.9375
1993-03-03,24.764963150024414,45.125
1993-03-04,24.62775421142578,44.875
1993-03-05,24.559165954589844,44.75
1993-03-08,25.107969284057617,45.75
1993-03-09,25.02220916748047,45.59375
1993-03-10,25.073684692382812,45.6875
1993-03-11,25.005090713500977,45.5625
1993-03-12,24.747817993164062,45.09375
1993-03-15,24.867876052856445,45.3125
1993-03-16,24.867876052856445,45.3125
1993-03-17,24.713504791259766,45.03125
1993-03-18,24.867876052856445,45.3125
1993-03-19,24.83022117614746,45.03125
1993-03-22,24.692392349243164,44.78125
1993-03-23,24.744083404541016,44.875
1993-03-24,24.744083404541016,44.875
1993-03-25,24.89916229248047,45.15625
1993-03-26,24.76131820678711,44.90625
1993-03-29,24.86469841003418,45.09375
1993-03-30,24.933618545532227,45.21875
1993-03-31,24.916391372680664,45.1875
1993-04-01,24.83022117614746,45.03125
1993-04-02,24.31329345703125,44.09375
1993-04-05,24.433910369873047,44.3125
1993-04-06,24.364994049072266,44.1875
1993-04-07,24.451152801513672,44.34375
1993-04-08,24.41667366027832,44.28125
1993-04-12,24.76131820678711,44.90625
1993-04-13,24.81300163269043,45.0
1993-04-14,24.77855682373047,44.9375
1993-04-15,24.77855682373047,44.9375
1993-04-16,24.77855682373047,44.9375
1993-04-19,24.675167083740234,44.75
1993-04-20,24.55454444885254,44.53125
1993-04-21,24.53731918334961,44.5
1993-04-22,24.22713851928711,43.9375
1993-04-23,24.12375259399414,43.75
1993-04-26,23.934213638305664,43.40625
1993-04-27,24.19268035888672,43.875
1993-04-28,24.1409969329834,43.78125
1993-04-29,24.244384765625,43.96875
1993-04-30,24.27883529663086,44.03125
1993-05-03,24.433910369873047,44.3125
1993-05-04,24.520082473754883,44.46875
1993-05-05,24.589006423950195,44.59375
1993-05-06,24.502845764160156,44.4375
1993-05-07,24.451152801513672,44.34375
1993-05-10,24.502845764160156,44.4375
1993-05-11,24.60623550415039,44.625
1993-05-12,24.57176971435547,44.5625
1993-05-13,24.27883529663086,44.03125
1993-05-14,24.261600494384766,44.0
1993-05-17,24.347761154174805,44.15625
1993-05-18,24.330524444580078,44.125
1993-05-19,24.83022117614746,45.03125
1993-05-20,24.89916229248047,45.15625
1993-05-21,24.675167083740234,44.75
1993-05-24,24.77855682373047,44.9375
1993-05-25,24.83022117614746,45.03125
1993-05-26,25.140398025512695,45.59375
1993-05-27,25.054250717163086,45.4375
1993-05-28,24.933618545532227,45.21875
1993-06-01,25.174854278564453,45.65625
1993-06-02,25.140398025512695,45.59375
1993-06-03,25.054250717163086,45.4375
1993-06-04,24.968080520629883,45.28125
1993-06-07,24.88193702697754,45.125
1993-06-08,24.657928466796875,44.71875
1993-06-09,24.744083404541016,44.875
1993-06-10,24.76131820678711,44.90625
1993-06-11,24.86469841003418,45.09375
1993-06-14,24.83022117614746,45.03125
1993-06-15,24.77855682373047,44.9375
1993-06-16,24.83022117614746,45.03125
1993-06-17,24.916391372680664,45.1875
1993-06-18,24.71122169494629,44.5
1993-06-21,24.763261795043945,44.59375
1993-06-22,24.780630111694336,44.625
1993-06-23,24.555023193359375,44.21875
1993-06-24,24.884733200073242,44.8125
1993-06-25,24.86738395690918,44.78125
1993-06-28,25.14504051208496,45.28125
1993-06-29,25.023588180541992,45.0625
1993-06-30,25.023588180541992,45.0625
1993-07-01,24.95416259765625,44.9375
1993-07-02,24.815326690673828,44.6875
1993-07-06,24.555023193359375,44.21875
1993-07-07,24.624441146850586,44.34375
1993-07-08,24.902099609375,44.84375
1993-07-09,24.971508026123047,44.96875
1993-07-12,24.95416259765625,44.9375
1993-07-13,24.936811447143555,44.90625
1993-07-14,25.023588180541992,45.0625
1993-07-15,24.9194393157959,44.875
1993-07-16,24.850034713745117,44.75
1993-07-19,24.832685470581055,44.71875
1993-07-20,24.902099609375,44.84375
1993-07-21,24.884733200073242,44.8125
1993-07-22,24.71122169494629,44.5
1993-07-23,24.832685470581055,44.71875
1993-07-26,24.971508026123047,44.96875
1993-07-27,24.95416259765625,44.9375
1993-07-28,24.902099609375,44.84375
1993-07-29,25.040916442871094,45.09375
1993-07-30,24.902099609375,44.84375
1993-08-02,24.971508026123047,44.96875
1993-08-03,24.988845825195312,45.0
1993-08-04,24.988845825195312,45.0
1993-08-05,24.936811447143555,44.90625
1993-08-06,24.971508026123047,44.96875
1993-08-09,25.110334396362305,45.21875
1993-08-10,25.092988967895508,45.1875
1993-08-11,25.092988967895508,45.1875
1993-08-12,25.023588180541992,45.0625
1993-08-13,25.05828285217285,45.125
1993-08-16,25.197101593017578,45.375
1993-08-17,25.283863067626953,45.53125
1993-08-18,25.42269515991211,45.78125
1993-08-19,25.42269515991211,45.78125
1993-08-20,25.440061569213867,45.8125
1993-08-23,25.387989044189453,45.71875
1993-08-24,25.66565704345703,46.21875
1993-08-25,25.68299102783203,46.25
1993-08-26,25.700355529785156,46.28125
1993-08-27,25.68299102783203,46.25
1993-08-30,25.787107467651367,46.4375
1993-08-31,25.85651206970215,46.5625
1993-09-01,25.82183074951172,46.5
1993-09-02,25.735048294067383,46.34375
1993-09-03,25.752416610717773,46.375
1993-09-07,25.578887939453125,46.0625
1993-09-08,25.492097854614258,45.90625
1993-09-09,25.544170379638672,46.0
1993-09-10,25.769765853881836,46.40625
1993-09-13,25.787107467651367,46.4375
1993-09-14,25.68299102783203,46.25
1993-09-15,25.752416610717773,46.375
1993-09-16,25.648292541503906,46.1875
1993-09-17,25.59856414794922,45.8125
1993-09-20,25.389019012451172,45.4375
1993-09-21,25.301719665527344,45.28125
1993-09-22,25.51124382019043,45.65625
1993-09-23,25.65093994140625,45.90625
1993-09-24,25.581104278564453,45.78125
1993-09-27,25.86048126220703,46.28125
1993-09-28,25.808107376098633,46.1875
1993-09-29,25.720788955688477,46.03125
1993-09-30,25.66840934753418,45.9375
1993-10-01,25.79062843322754,46.15625
1993-10-04,25.82556915283203,46.21875
1993-10-05,25.79062843322754,46.15625
1993-10-06,25.773174285888672,46.125
1993-10-07,25.703325271606445,46.0
1993-10-08,25.73824691772461,46.0625
1993-10-11,25.79062843322754,46.15625
1993-10-12,25.82556915283203,46.21875
1993-10-13,25.82556915283203,46.21875
1993-10-14,26.157333374023438,46.8125
1993-10-15,26.29702377319336,47.0625
1993-10-18,26.2271671295166,46.9375
1993-10-19,26.035093307495117,46.59375
1993-10-20,26.070016860961914,46.65625
1993-10-21,26.035093307495117,46.59375
1993-10-22,25.91286277770996,46.375
1993-10-25,25.982704162597656,46.5
1993-10-26,25.965251922607422,46.46875
1993-10-27,25.982704162597656,46.5
1993-10-28,26.17479133605957,46.84375
1993-10-29,26.17479133605957,46.84375
1993-11-01,26.24462890625,46.96875
1993-11-02,26.2271671295166,46.9375
1993-11-03,25.89539909362793,46.34375
1993-11-04,25.61602020263672,45.84375
1993-11-05,25.73824691772461,46.0625
1993-11-08,25.773174285888672,46.125
1993-11-09,25.79062843322754,46.15625
1993-11-10,25.982704162597656,46.5
1993-11-11,25.91286277770996,46.375
1993-11-12,26.035093307495117,46.59375
1993-11-15,26.017637252807617,46.5625
1993-11-16,26.13988494873047,46.78125
1993-11-17,26.000181198120117,46.53125
1993-11-18,25.93033790588379,46.40625
1993-11-19,25.877931594848633,46.3125
1993-11-22,25.720788955688477,46.03125
1993-11-23,25.86048126220703,46.28125
1993-11-24,25.965251922607422,46.46875
1993-11-26,25.982704162597656,46.5
1993-11-29,25.877931594848633,46.3125
1993-11-30,25.89539909362793,46.34375
1993-12-01,25.93033790588379,46.40625
1993-12-02,26.000181198120117,46.53125
1993-12-03,26.104955673217773,46.71875
1993-12-06,26.192251205444336,46.875
1993-12-07,26.17479133605957,46.84375
1993-12-08,26.17479133605957,46.84375
1993-12-09,26.087472915649414,46.6875
1993-12-10,26.035093307495117,46.59375
1993-12-13,26.192251205444336,46.875
1993-12-14,26.000181198120117,46.53125
1993-12-15,25.965251922607422,46.46875
1993-12-16,26.052562713623047,46.625
1993-12-17,26.195737838745117,46.5625
1993-12-20,26.230907440185547,46.625
1993-12-21,26.142988204956055,46.46875
1993-12-22,26.318817138671875,46.78125
1993-12-23,26.301223754882812,46.75
1993-12-27,26.441862106323242,47.0
1993-12-28,26.4946231842041,47.09375
1993-12-29,26.459455490112305,47.03125
1993-12-30,26.353961944580078,46.84375
1993-12-31,26.213306427001953,46.59375
1994-01-03,26.142988204956055,46.46875
1994-01-04,26.248485565185547,46.65625
1994-01-05,26.301223754882812,46.75
1994-01-06,26.301223754882812,46.75
1994-01-07,26.459455490112305,47.03125
1994-01-10,26.775911331176758,47.59375
1994-01-11,26.723169326782227,47.5
1994-01-12,26.6352596282959,47.34375
1994-01-13,26.564937591552734,47.21875
1994-01-14,26.670429229736328,47.40625
1994-01-17,26.670429229736328,47.40625
1994-01-18,26.70559310913086,47.46875
1994-01-19,26.6352596282959,47.34375
1994-01-20,26.70559310913086,47.46875
1994-01-21,26.65285873413086,47.375
1994-01-24,26.547367095947266,47.1875
1994-01-25,26.547367095947266,47.1875
1994-01-26,26.6176815032959,47.3125
1994-01-27,26.863813400268555,47.75
1994-01-28,26.934146881103516,47.875
1994-01-31,27.127525329589844,48.21875
1994-02-01,26.986896514892578,47.96875
1994-02-02,27.16269874572754,48.28125
1994-02-03,27.039628982543945,48.0625
1994-02-04,26.424301147460938,46.96875
1994-02-07,26.547367095947266,47.1875
1994-02-08,26.564937591552734,47.21875
1994-02-09,26.670429229736328,47.40625
1994-02-10,26.441862106323242,47.0
1994-02-11,26.529775619506836,47.15625
1994-02-14,26.564937591552734,47.21875
1994-02-15,26.70559310913086,47.46875
1994-02-16,26.688007354736328,47.4375
1994-02-17,26.529775619506836,47.15625
1994-02-18,26.371557235717773,46.875
1994-02-22,26.6352596282959,47.34375
1994-02-23,26.564937591552734,47.21875
1994-02-24,26.213306427001953,46.59375
1994-02-25,26.33639144897461,46.8125
1994-02-28,26.33639144897461,46.8125
1994-03-01,26.230907440185547,46.625
1994-03-02,26.26605796813965,46.6875
1994-03-03,26.195737838745117,46.5625
1994-03-04,26.26605796813965,46.6875
1994-03-07,26.406723022460938,46.9375
1994-03-08,26.301223754882812,46.75
1994-03-09,26.424301147460938,46.96875
1994-03-10,26.213306427001953,46.59375
1994-03-11,26.353961944580078,46.84375
1994-03-14,26.389131546020508,46.90625
1994-03-15,26.371557235717773,46.875
1994-03-16,26.582538604736328,47.25
1994-03-17,26.582538604736328,47.25
1994-03-18,26.576717376708984,46.96875
1994-03-21,26.50598907470703,46.84375
1994-03-22,26.576717376708984,46.96875
1994-03-23,26.559032440185547,46.9375
1994-03-24,26.240758895874023,46.375
1994-03-25,25.993196487426758,45.9375
1994-03-28,26.028560638427734,46.0
1994-03-29,25.515777587890625,45.09375
1994-03-30,25.162120819091797,44.46875
1994-03-31,25.232852935791016,44.59375
1994-04-04,24.843843460083008,43.90625
1994-04-05,25.35663414001465,44.8125
1994-04-06,25.35663414001465,44.8125
1994-04-07,25.480398178100586,45.03125
1994-04-08,25.285903930664062,44.6875
1994-04-11,25.391998291015625,44.875
1994-04-12,25.35663414001465,44.8125
1994-04-13,25.22402000427246,44.578125
1994-04-14,25.232852935791016,44.59375
1994-04-15,25.232852935791016,44.59375
1994-04-18,25.064865112304688,44.296875
1994-04-19,25.100229263305664,44.359375
1994-04-20,25.073719024658203,44.3125
1994-04-21,25.409690856933594,44.90625
1994-04-22,25.383153915405273,44.859375
1994-04-25,25.648387908935547,45.328125
1994-04-26,25.621883392333984,45.28125
1994-04-28,25.436199188232422,44.953125
1994-04-29,25.515777587890625,45.09375
1994-05-02,25.674907684326172,45.375
1994-05-03,25.648387908935547,45.328125
1994-05-04,25.60420036315918,45.25
1994-05-05,25.56882667541504,45.1875
1994-05-06,25.32127571105957,44.75
1994-05-09,25.100229263305664,44.359375
